STFID,STFIDNUM,COUNTYNAME,TRACT,BLKGRP,LOW,LOWMOD,LOWMODUNIV,LOWMODPCT,BLKGRPLABEL,TRACTLABEL,LABELFULL
080310045033,80310045033.0,Denver County,004503,3,975.0,1750.0,1770.0,0.9887,Block Group 3,Tract 45.03,Tract 45.03 Block Group 3
080310036022,80310036022.0,Denver County,003602,2,235.0,460.0,640.0,0.7188,Block Group 2,Tract 36.02,Tract 36.02 Block Group 2
080310041011,80310041011.0,Denver County,004101,1,765.0,1210.0,1930.0,0.6269,Block Group 1,Tract 41.01,Tract 41.01 Block Group 1
080310011021,80310011021.0,Denver County,001102,1,665.0,835.0,1100.0,0.7591,Block Group 1,Tract 11.02,Tract 11.02 Block Group 1
080310051023,80310051023.0,Denver County,005102,3,235.0,520.0,1140.0,0.4561,Block Group 3,Tract 51.02,Tract 51.02 Block Group 3
080310028022,80310028022.0,Denver County,002802,2,190.0,275.0,680.0,0.4044,Block Group 2,Tract 28.02,Tract 28.02 Block Group 2
080310070371,80310070371.0,Denver County,007037,1,1375.0,1860.0,2385.0,0.7799,Block Group 1,Tract 70.37,Tract 70.37 Block Group 1
080310005011,80310005011.0,Denver County,000501,1,135.0,300.0,1140.0,0.2632,Block Group 1,Tract 5.01,Tract 5.01 Block Group 1
080310046035,80310046035.0,Denver County,004603,5,535.0,590.0,1365.0,0.4322,Block Group 5,Tract 46.03,Tract 46.03 Block Group 5
080310002023,80310002023.0,Denver County,000202,3,90.0,160.0,715.0,0.2238,Block Group 3,Tract 2.02,Tract 2.02 Block Group 3
080310120143,80310120143.0,Denver County,012014,3,45.0,125.0,980.0,0.1276,Block Group 3,Tract 120.14,Tract 120.14 Block Group 3
080310055031,80310055031.0,Denver County,005503,1,140.0,375.0,645.0,0.5814,Block Group 1,Tract 55.03,Tract 55.03 Block Group 1
080310023003,80310023003.0,Denver County,002300,3,720.0,1360.0,2265.0,0.6004,Block Group 3,Tract 23,Tract 23 Block Group 3
080310017022,80310017022.0,Denver County,001702,2,680.0,825.0,1910.0,0.4319,Block Group 2,Tract 17.02,Tract 17.02 Block Group 2
080310036012,80310036012.0,Denver County,003601,2,325.0,375.0,630.0,0.5952,Block Group 2,Tract 36.01,Tract 36.01 Block Group 2
080310034012,80310034012.0,Denver County,003401,2,330.0,645.0,1945.0,0.3316,Block Group 2,Tract 34.01,Tract 34.01 Block Group 2
